종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","59200","300","0.51","3.53411127E8"
"373220","LG에너지솔루션","531000","-32000","-5.68","1.24254E8"
"207940","삼성바이오로직스","827000","-4000","-0.48","5.8860898E7"
"000660","SK하이닉스","78800","-100","-0.13","5.7366586E7"
"006400","삼성SDI","693000","-15000","-2.12","4.7653819E7"
"051910","LG화학","670000","-9000","-1.33","4.729687E7"
"005380","현대차","162000","-1000","-0.61","3.4614246E7"
"035420","NAVER","185500","2000","1.09","3.0431105E7"
"000270","기아","64700","-300","-0.46","2.6227009E7"
"068270","셀트리온","176500","2000","1.15","2.485212E7"
"035720","카카오","55500","0","0.00","2.4720276E7"
"005490","POSCO홀딩스","286500","-3500","-1.21","2.4229657E7"
"028260","삼성물산","117500","1500","1.29","2.1959232E7"
"105560","KB금융","50400","-400","-0.79","2.0608412E7"
"012330","현대모비스","206000","-1500","-0.72","1.9422729E7"
"055550","신한지주","37400","150","0.40","1.9028554E7"
"003670","포스코케미칼","204000","-5000","-2.39","1.5802497E7"
"034730","SK","204000","0","0.00","1.5126463E7"
"096770","SK이노베이션","163500","-1000","-0.61","1.511812E7"
"066570","LG전자","89800","-500","-0.55","1.4695574E7"
"032830","삼성생명","72800","2200","3.12","1.456E7"
"033780","KT&G","98900","1100","1.12","1.3578228E7"
"086790","하나금융지주","44800","700","1.59","1.3256476E7"
"323410","카카오뱅크","27450","650","2.43","1.3085798E7"
"015760","한국전력","19350","-450","-2.27","1.2422005E7"
"003550","LG","79600","1100","1.40","1.2521159E7"
"010130","고려아연","604000","-1000","-0.17","1.1997347E7"
"017670","SK텔레콤","50200","0","0.00","1.0985424E7"
"051900","LG생활건강","679000","-14000","-2.02","1.0604756E7"
"329180","현대중공업","117500","-1000","-0.84","1.0430841E7"
"011200","HMM","20850","0","0.00","1.0196473E7"
"009150","삼성전기","136500","2000","1.49","1.019569E7"
"034020","두산에너빌리티","15950","0","0.00","1.0181013E7"
"036570","엔씨소프트","466000","6000","1.30","1.0230574E7"
"030200","KT","37600","200","0.53","9817804.0"
"000810","삼성화재","204500","1500","0.74","9688154.0"
"018260","삼성에스디에스","126000","3500","2.86","9749603.0"
"003490","대한항공","26000","-50","-0.19","9573737.0"
"010950","S-Oil","82700","-800","-0.96","9310597.0"
"316140","우리금융지주","12550","50","0.40","9137160.0"
"009830","한화솔루션","47950","50","0.10","9171804.0"
"259960","크래프톤","179500","1000","0.56","8808432.0"
"377300","카카오페이","63300","1700","2.76","8416503.0"
"024110","기업은행","10850","-50","-0.46","8075661.0"
"090430","아모레퍼시픽","135500","500","0.37","7925769.0"
"011070","LG이노텍","282000","-4000","-1.40","6674124.0"
"011170","롯데케미칼","196000","6500","3.43","6717982.0"
"302440","SK바이오사이언스","83800","1100","1.33","6434503.0"
"086280","현대글로비스","169000","0","0.00","6337500.0"
"352820","하이브","145000","0","0.00","5996241.0"
"383220","F&F","154500","-2500","-1.59","5918443.0"
"097950","CJ제일제당","372000","-500","-0.13","5600157.0"
"326030","SK바이오팜","71500","-700","-0.97","5599397.0"
"035250","강원랜드","24650","-250","-1.00","5273633.0"
"032640","LG유플러스","11900","250","2.15","5195675.0"
"402340","SK스퀘어","35600","400","1.14","5036246.0"
"267250","HD현대","63300","-600","-0.94","5000262.0"
"009540","한국조선해양","72800","-1000","-1.36","5152283.0"
"000060","메리츠화재","44350","-1150","-2.53","5046276.0"
"034220","LG디스플레이","13750","-200","-1.43","4919966.0"
"138040","메리츠금융지주","37200","-550","-1.46","4745672.0"
"018880","한온시스템","8690","200","2.36","4638722.0"
"028050","삼성엔지니어링","23150","-200","-0.86","4537400.0"
"271560","오리온","115500","0","0.00","4566423.0"
"000100","유한양행","59700","600","1.02","4371919.0"
"010140","삼성중공업","5090","10","0.20","4479200.0"
"361610","SK아이이테크놀로지","63200","-800","-1.25","4506008.0"
"251270","넷마블","51900","4450","9.38","4460987.0"
"047810","한국항공우주","46150","0","0.00","4498476.0"
"000720","현대건설","38550","-400","-1.03","4292765.0"
"004020","현대제철","31600","-850","-2.62","4216887.0"
"078930","GS","45350","50","0.11","4213712.0"
"021240","코웨이","57700","1100","1.94","4258238.0"
"005830","DB손해보험","61000","300","0.49","4318800.0"
"161390","한국타이어앤테크놀로지","32800","-250","-0.76","4063102.0"
"011780","금호석유","142000","0","0.00","4162632.0"
"011790","SKC","105500","-1500","-1.40","3995105.0"
"006800","미래에셋증권","6330","-10","-0.16","3894953.0"
"029780","삼성카드","32400","0","0.00","3753828.0"
"008560","메리츠증권","5750","-80","-1.37","3536483.0"
"004990","롯데지주","32600","-50","-0.15","3420041.0"
"012450","한화에어로스페이스","66500","-600","-0.89","3366895.0"
"282330","BGF리테일","203500","-1500","-0.73","3517275.0"
"241560","두산밥캣","34500","-100","-0.29","3458596.0"
"137310","에스디바이오센서","32800","150","0.46","3415052.0"
"128940","한미약품","261000","6000","2.35","3214990.0"
"010620","현대미포조선","83200","-200","-0.24","3323187.0"
"005940","NH투자증권","9410","-30","-0.32","3120976.0"
"007070","GS리테일","29650","-100","-0.34","3104886.0"
"008770","호텔신라","78700","-600","-0.76","3088827.0"
"071050","한국금융지주","57100","-200","-0.35","3181954.0"
"028670","팬오션","5680","200","3.65","3036355.0"
"036460","한국가스공사","33650","0","0.00","3106332.0"
"064350","현대로템","27800","-700","-2.46","3034156.0"
"016360","삼성증권","34650","-250","-0.72","3094245.0"
"112610","씨에스윈드","70300","-800","-1.13","2964650.0"
"003410","쌍용C&E","5930","0","0.00","2987887.0"
"020150","일진머티리얼즈","59300","-600","-1.00","2734373.0"
"139480","이마트","97300","-1200","-1.22","2712317.0"
"047050","포스코인터내셔널","22700","-200","-0.87","2800616.0"
"030000","제일기획","23600","200","0.85","2714973.0"
"001450","현대해상","28800","0","0.00","2574720.0"
"006040","동원산업","52700","4350","9.00","2634086.0"
"002790","아모레G","32700","-100","-0.30","2696382.0"
"012750","에스원","62900","-800","-1.26","2390148.0"
"180640","한진칼","37200","-2350","-5.94","2483539.0"
"023530","롯데쇼핑","88200","-2300","-2.54","2495068.0"
"001040","CJ","77300","1500","1.98","2255382.0"
"010060","OCI","94100","1500","1.62","2244226.0"
"138930","BNK금융지주","7160","-40","-0.56","2333696.0"
"039490","키움증권","87600","-1700","-1.90","2296829.0"
"014680","한솔케미칼","200500","-2500","-1.23","2272707.0"
"000880","한화","27550","-150","-0.54","2065113.0"
"002380","KCC","231500","500","0.22","2057218.0"
"004170","신세계","223000","-7500","-3.25","2195475.0"
"006260","LS","67200","-900","-1.32","2163840.0"
"008930","한미사이언스","31600","400","1.28","2168508.0"
"336260","두산퓨얼셀","31600","-700","-2.17","2069602.0"
"052690","한전기술","56100","-800","-1.41","2144142.0"
"088350","한화생명","2410","45","1.90","2093157.0"
"111770","영원무역","46700","600","1.30","2069346.0"
"204320","HL만도","46150","550","1.21","2167071.0"
"026960","동서","20600","-500","-2.37","2053820.0"
"000120","CJ대한통운","86700","2300","2.73","1977830.0"
"001440","대한전선","1615","-25","-1.52","2009824.0"
"004370","농심","330000","500","0.15","2007272.0"
"006360","GS건설","22550","-400","-1.74","1929863.0"
"272210","한화시스템","10700","-250","-2.28","2021437.0"
"047040","대우건설","4615","-70","-1.49","1918098.0"
"079550","LIG넥스원","87300","-2500","-2.78","1920600.0"
"081660","휠라홀딩스","33000","-400","-1.20","2004823.0"
"042660","대우조선해양","18200","-150","-0.82","1952690.0"
"000080","하이트진로","26000","200","0.78","1823474.0"
"069620","대웅제약","159500","7500","4.93","1848059.0"
"007310","오뚜기","449000","1000","0.22","1799516.0"
"000990","DB하이텍","42350","400","0.95","1880280.0"
"004000","롯데정밀화학","60600","1400","2.36","1563480.0"
"004800","효성","74400","-500","-0.67","1567684.0"
"298050","효성첨단소재","361500","0","0.00","1619501.0"
